Date,Open,High,Low,Close,Adj Close,Volume
"Jun 8, 2024",162.50,163.62,157.54,157.97,157.97,"1,722,237,785"
"Jun 7, 2024",170.02,172.44,155.80,162.51,162.51,"3,298,527,575"
"Jun 6, 2024",173.48,174.30,167.86,170.02,170.02,"1,965,442,993"
"Jun 5, 2024",171.80,175.48,171.38,173.48,173.48,"2,405,906,612"
"Jun 4, 2024",164.93,171.82,164.52,171.80,171.80,"2,057,558,426"
"Jun 3, 2024",163.25,167.04,161.85,164.92,164.92,"2,182,487,608"
"Jun 2, 2024",166.03,166.92,161.65,163.25,163.25,"1,562,269,041"
"Jun 1, 2024",165.64,167.74,165.59,166.03,166.03,"1,058,869,941"
"May 31, 2024",166.98,170.63,163.93,165.64,165.64,"2,415,920,333"
"May 30, 2024",168.07,172.42,163.68,166.98,166.98,"2,932,316,784"
"May 29, 2024",168.65,173.64,167.32,168.07,168.07,"2,852,496,248"
"May 28, 2024",170.00,173.02,164.97,168.65,168.65,"3,342,283,019"
"May 27, 2024",163.35,171.99,163.34,170.00,170.00,"2,745,440,475"
"May 26, 2024",168.44,168.44,161.26,163.35,163.35,"2,543,881,488"
"May 25, 2024",167.80,170.36,166.11,168.44,168.44,"1,875,205,755"
"May 24, 2024",175.99,176.03,162.87,167.80,167.80,"4,013,502,065"
"May 23, 2024",176.86,180.17,167.40,175.99,175.99,"5,117,258,940"
"May 22, 2024",178.12,183.07,175.45,176.86,176.86,"3,833,758,536"
"May 21, 2024",186.52,188.49,174.71,178.12,178.12,"4,568,414,163"
"May 20, 2024",170.09,187.45,168.03,186.52,186.52,"4,636,864,705"
"May 19, 2024",172.54,175.19,166.73,170.09,170.09,"2,300,080,451"
"May 18, 2024",169.53,175.78,168.93,172.54,172.54,"2,479,657,643"
"May 17, 2024",159.12,171.61,159.12,169.53,169.53,"3,371,355,809"
"May 16, 2024",158.19,164.32,156.77,159.12,159.12,"3,498,272,951"
"May 15, 2024",142.03,158.64,141.35,158.19,158.19,"3,585,715,674"
"May 14, 2024",147.28,148.83,141.91,142.03,142.03,"2,586,166,419"
"May 13, 2024",143.52,150.55,138.03,147.28,147.28,"2,556,255,769"
"May 12, 2024",145.31,147.57,142.88,143.52,143.52,"936,690,341"
"May 11, 2024",146.22,147.43,143.33,145.31,145.31,"1,243,751,505"
"May 10, 2024",152.85,155.41,144.94,146.22,146.22,"2,471,594,251"
"May 9, 2024",142.29,153.09,140.79,152.85,152.85,"2,249,863,780"
"May 8, 2024",148.13,149.81,140.17,142.29,142.29,"2,502,237,557"
"May 7, 2024",152.81,159.05,148.08,148.13,148.13,"2,687,619,013"
"May 6, 2024",145.71,156.63,145.58,152.80,152.80,"2,926,902,880"
"May 5, 2024",146.14,147.92,143.48,145.71,145.71,"2,034,794,725"
"May 4, 2024",143.77,148.94,142.57,146.14,146.14,"3,050,187,811"
"May 3, 2024",137.81,144.96,136.12,143.77,143.77,"3,216,962,298"
"May 2, 2024",134.63,140.28,128.26,137.81,137.81,"3,380,078,368"
"May 1, 2024",126.96,135.11,119.38,134.63,134.63,"4,136,407,963"
"Apr 30, 2024",137.78,139.67,121.64,126.96,126.96,"3,407,320,371"
"Apr 29, 2024",137.86,138.74,133.71,137.78,137.78,"2,464,951,751"
"Apr 28, 2024",141.29,144.51,137.23,137.86,137.86,"1,959,005,342"
"Apr 27, 2024",139.10,142.87,134.03,141.29,141.29,"2,373,155,947"
"Apr 26, 2024",144.89,145.85,138.91,139.10,139.10,"2,564,389,027"
"Apr 25, 2024",147.75,149.30,142.26,144.89,144.89,"3,674,969,172"
"Apr 24, 2024",154.70,159.58,145.77,147.75,147.75,"3,932,336,720"
"Apr 23, 2024",157.03,159.94,153.32,154.70,154.70,"2,750,685,937"
"Apr 22, 2024",148.61,158.37,146.99,157.03,157.03,"2,959,650,502"
"Apr 21, 2024",151.13,153.42,147.17,148.61,148.61,"2,211,663,291"
"Apr 20, 2024",142.68,152.10,140.01,151.13,151.13,"2,795,892,211"
"Apr 19, 2024",142.08,147.33,128.86,142.68,142.68,"5,857,667,913"
"Apr 18, 2024",131.87,143.73,128.08,142.08,142.08,"4,193,561,506"
"Apr 17, 2024",136.28,142.60,127.53,131.87,131.87,"4,888,546,522"
"Apr 16, 2024",138.51,140.28,126.87,136.28,136.28,"5,156,084,639"
"Apr 15, 2024",151.30,155.96,134.57,138.51,138.51,"5,699,439,234"
"Apr 14, 2024",139.34,152.50,131.29,151.28,151.28,"7,110,974,218"
"Apr 13, 2024",153.63,154.94,119.83,139.34,139.34,"8,976,793,985"
"Apr 12, 2024",172.58,175.81,145.52,153.64,153.64,"4,727,185,451"
"Apr 11, 2024",173.44,176.24,170.39,172.58,172.58,"2,712,334,365"
